,Code,Price,volume,Turover,Flag,Askprice0,Askvolume0,Bidprice0,Bidvolume0,HighestPrice,LowestPrice
2018-04-26 21:00:00.500,rb1805,3919.0,8.0,313560.0,1.0,3919.0,28.0,3918.0,1.0,3922.0,3918.0
2018-04-26 21:00:01.000,rb1805,3922.0,62.0,2429960.0,1.0,3922.0,18.0,3918.0,1.0,3922.0,3918.0
2018-04-26 21:00:01.500,rb1805,3922.0,6.0,235320.0,1.0,3922.0,15.0,3918.0,1.0,3922.0,3918.0
2018-04-26 21:00:02.000,rb1805,3922.0,8.0,313600.0,1.0,3921.0,2.0,3916.0,1.0,3922.0,3918.0
2018-04-26 21:00:02.500,rb1805,3916.0,8.0,313540.0,1.0,3922.0,13.0,3914.0,1.0,3922.0,3916.0
2018-04-26 21:00:03.000,rb1805,3916.0,0.0,0.0,1.0,3916.0,2.0,3914.0,1.0,3922.0,3916.0
2018-04-26 21:00:03.500,rb1805,3914.0,2.0,78280.0,1.0,3914.0,8.0,3913.0,4.0,3922.0,3914.0
2018-04-26 21:00:04.000,rb1805,3918.0,40.0,1566480.0,1.0,3922.0,15.0,3914.0,34.0,3922.0,3914.0
2018-04-26 21:00:04.500,rb1805,3918.0,0.0,0.0,1.0,3922.0,16.0,3914.0,54.0,3922.0,3914.0
2018-04-26 21:00:05.000,rb1805,3918.0,0.0,0.0,1.0,3922.0,16.0,3915.0,5.0,3922.0,3914.0
2018-04-26 21:00:05.500,rb1805,3922.0,32.0,1255040.0,1.0,3923.0,31.0,3922.0,14.0,3922.0,3914.0
2018-04-26 21:00:06.000,rb1805,3922.0,28.0,1098160.0,1.0,3922.0,6.0,3916.0,1.0,3922.0,3914.0
2018-04-26 21:00:06.500,rb1805,3922.0,0.0,0.0,1.0,3921.0,3.0,3916.0,1.0,3922.0,3914.0
2018-04-26 21:00:07.000,rb1805,3922.0,6.0,235320.0,1.0,3922.0,6.0,3917.0,1.0,3922.0,3914.0
2018-04-26 21:00:07.500,rb1805,3922.0,0.0,0.0,1.0,3921.0,3.0,3917.0,1.0,3922.0,3914.0
2018-04-26 21:00:08.000,rb1805,3922.0,8.0,313760.0,1.0,3921.0,1.0,3917.0,1.0,3922.0,3914.0
2018-04-26 21:00:08.500,rb1805,3916.0,4.0,156660.0,1.0,3916.0,2.0,3914.0,21.0,3922.0,3914.0
2018-04-26 21:00:09.000,rb1805,3916.0,4.0,156640.0,1.0,3922.0,1.0,3916.0,38.0,3922.0,3914.0
2018-04-26 21:00:09.500,rb1805,3916.0,0.0,0.0,1.0,3922.0,1.0,3921.0,5.0,3922.0,3914.0
2018-04-26 21:00:10.000,rb1805,3916.0,0.0,0.0,1.0,3922.0,5.0,3921.0,5.0,3922.0,3914.0
2018-04-26 21:00:10.500,rb1805,3921.0,10.0,392100.0,1.0,3922.0,5.0,3916.0,33.0,3922.0,3914.0
2018-04-26 21:00:11.000,rb1805,3921.0,0.0,0.0,1.0,3922.0,2.0,3919.0,20.0,3922.0,3914.0
2018-04-26 21:00:11.500,rb1805,3921.0,0.0,0.0,1.0,3922.0,2.0,3919.0,1.0,3922.0,3914.0
2018-04-26 21:00:12.000,rb1805,3921.0,2.0,78420.0,1.0,3921.0,10.0,3917.0,6.0,3922.0,3914.0
2018-04-26 21:00:12.500,rb1805,3921.0,0.0,0.0,1.0,3920.0,1.0,3917.0,6.0,3922.0,3914.0
2018-04-26 21:00:13.000,rb1805,3921.0,0.0,0.0,1.0,3920.0,1.0,3917.0,6.0,3922.0,3914.0
2018-04-26 21:00:13.500,rb1805,3921.0,0.0,0.0,1.0,3920.0,1.0,3918.0,5.0,3922.0,3914.0
2018-04-26 21:00:14.000,rb1805,3920.0,12.0,470400.0,1.0,3921.0,10.0,3920.0,4.0,3922.0,3914.0
2018-04-26 21:00:14.500,rb1805,3918.0,16.0,627060.0,1.0,3919.0,1.0,3918.0,4.0,3922.0,3914.0
2018-04-26 21:00:15.000,rb1805,3918.0,2.0,78360.0,1.0,3921.0,14.0,3919.0,1.0,3922.0,3914.0
2018-04-26 21:00:15.500,rb1805,3920.0,2.0,78400.0,1.0,3920.0,1.0,3919.0,5.0,3922.0,3914.0
2018-04-26 21:00:16.000,rb1805,3920.0,0.0,0.0,1.0,3921.0,12.0,3919.0,9.0,3922.0,3914.0
2018-04-26 21:00:16.500,rb1805,3920.0,0.0,0.0,1.0,3921.0,12.0,3919.0,9.0,3922.0,3914.0
2018-04-26 21:00:17.000,rb1805,3919.0,16.0,627040.0,1.0,3919.0,2.0,3918.0,4.0,3922.0,3914.0
2018-04-26 21:00:17.500,rb1805,3919.0,0.0,0.0,1.0,3919.0,2.0,3918.0,5.0,3922.0,3914.0
2018-04-26 21:00:18.000,rb1805,3921.0,36.0,1411460.0,1.0,3922.0,5.0,3921.0,12.0,3922.0,3914.0
2018-04-26 21:00:18.500,rb1805,3921.0,2.0,78420.0,1.0,3922.0,4.0,3921.0,11.0,3922.0,3914.0
2018-04-26 21:00:19.000,rb1805,3921.0,0.0,0.0,1.0,3922.0,4.0,3921.0,11.0,3922.0,3914.0
2018-04-26 21:00:19.500,rb1805,3921.0,22.0,862620.0,1.0,3921.0,10.0,3920.0,1.0,3922.0,3914.0
2018-04-26 21:00:20.000,rb1805,3921.0,0.0,0.0,1.0,3920.0,1.0,3918.0,5.0,3922.0,3914.0
2018-04-26 21:00:20.500,rb1805,3920.0,2.0,78400.0,1.0,3921.0,16.0,3920.0,30.0,3922.0,3914.0
2018-04-26 21:00:21.000,rb1805,3920.0,10.0,392000.0,1.0,3921.0,13.0,3920.0,25.0,3922.0,3914.0
2018-04-26 21:00:21.500,rb1805,3920.0,0.0,0.0,1.0,3921.0,12.0,3920.0,27.0,3922.0,3914.0
2018-04-26 21:00:22.000,rb1805,3920.0,0.0,0.0,1.0,3921.0,12.0,3920.0,28.0,3922.0,3914.0
2018-04-26 21:00:22.500,rb1805,3920.0,4.0,156800.0,1.0,3921.0,12.0,3920.0,26.0,3922.0,3914.0
2018-04-26 21:00:23.000,rb1805,3920.0,0.0,0.0,1.0,3921.0,12.0,3920.0,3.0,3922.0,3914.0
2018-04-26 21:00:23.500,rb1805,3920.0,0.0,0.0,1.0,3921.0,13.0,3920.0,2.0,3922.0,3914.0
2018-04-26 21:00:24.000,rb1805,3921.0,6.0,235220.0,1.0,3921.0,13.0,3919.0,3.0,3922.0,3914.0
2018-04-26 21:00:24.500,rb1805,3921.0,0.0,0.0,1.0,3921.0,13.0,3919.0,3.0,3922.0,3914.0
2018-04-26 21:00:25.000,rb1805,3921.0,0.0,0.0,1.0,3921.0,12.0,3919.0,5.0,3922.0,3914.0
2018-04-26 21:00:25.500,rb1805,3921.0,0.0,0.0,1.0,3921.0,16.0,3919.0,5.0,3922.0,3914.0
2018-04-26 21:00:26.000,rb1805,3919.0,6.0,235140.0,1.0,3921.0,15.0,3919.0,2.0,3922.0,3914.0
2018-04-26 21:00:26.500,rb1805,3919.0,0.0,0.0,1.0,3921.0,16.0,3919.0,1.0,3922.0,3914.0
2018-04-26 21:00:27.000,rb1805,3919.0,0.0,0.0,1.0,3920.0,2.0,3919.0,1.0,3922.0,3914.0
2018-04-26 21:00:27.500,rb1805,3919.0,0.0,0.0,1.0,3920.0,14.0,3919.0,4.0,3922.0,3914.0
2018-04-26 21:00:28.000,rb1805,3920.0,2.0,78400.0,1.0,3920.0,13.0,3919.0,62.0,3922.0,3914.0
